Algorithm;Input_name;Input_description;Runs_warmup;Runs_actual;AVG Result;Input_length;Input_values
Algorithms.BubbleSortWhileNeeded;Sorted reverse input;No description;1000;100000;1976913;1000;[2142759731, 2138102324, 2136337642, 2134098836, 2132812580, 2132283168, 2122602775, 2122187894, 2119807720, 2113807108, 2089179711, 2080767573, 2078687314, 2077032518, 2073379341, 2072380586, 2072049260, 2068898252, 2068177530, 2060101111, 2046573542, 2045021482, 2044912495, 2034916253, 2018058260, 2017735917, 2015378181, 2015218182, 2011526507, 2009104992, 2001128145, 1993445619, 1991708823, 1985781979, 1984754210, 1976659162, 1975643306, 1974680211, 1968184218, 1966937107, 1946577626, 1943019976, 1942677639, 1938997840, 1930633495, 1929374341, 1927729618, 1927504983, 1927283662, 1925000663, 1924823136, 1920822126, 1910260322, 1893528181, 1891245092, 1889486382, 1889466653, 1886443551, 1878113649, 1873254330, 1872253455, 1870335420, 1860420341, 1854623847, 1842184926, 1840236991, 1839305364, 1838447509, 1832086273, 1829474761, 1829285588, 1823532696, 1818661245, 1818547217, 1815065200, 1805035898, 1793060975, 1785878884, 1778942331, 1769796988, 1751015120, 1750600398, 1749333690, 1747253266, 1738776183, 1734286422, 1731277496, 1729718385, 1728951692, 1725683387, 1724044269, 1722788072, 1721726468, 1720303034, 1718369900, 1715333751, 1714470954, 1709264050, 1705002033, 1698199655, 1697217692, 1695977281, 1685826019, 1684455514, 1672719200, 1666031895, 1664609947, 1664250905, 1662110297, 1659189522, 1656765496, 1655288981, 1654478290, 1654087148, 1652781371, 1640485829, 1634284692, 1619854563, 1619541895, 1611513278, 1609887861, 1609887288, 1605269730, 1601494132, 1599850127, 1596992582, 1589424613, 1589125879, 1576099396, 1560380786, 1554028162, 1546793592, 1546444257, 1546158269, 1545770991, 1543172392, 1542860284, 1541431801, 1534636121, 1534078498, 1521275120, 1521071863, 1518856337, 1516128668, 1514950078, 1513076184, 1510649095, 1508631462, 1503803070, 1502545473, 1497623179, 1494767400, 1489823468, 1489366428, 1469459668, 1469278799, 1468754012, 1453953999, 1449836855, 1444977856, 1444220633, 1443305746, 1434512769, 1428954727, 1428693146, 1426335941, 1420905787, 1419582186, 1412786359, 1410450803, 1407433674, 1404643614, 1403265159, 1399462408, 1393096993, 1392857679, 1390043686, 1377195831, 1372917462, 1359427716, 1358827296, 1355462092, 1347946080, 1340300186, 1338731747, 1334963975, 1334679912, 1327354689, 1326827893, 1312170597, 1310078821, 1309060085, 1306922612, 1303433271, 1301644421, 1300620879, 1284677785, 1278185795, 1274459673, 1264151907, 1263006231, 1262313947, 1252942994, 1252791192, 1247765892, 1245681947, 1244203691, 1227854161, 1226415162, 1224027484, 1216908017, 1215251121, 1213930263, 1212236379, 1207844378, 1200694235, 1197233544, 1192644658, 1187364005, 1178316258, 1173666672, 1173542570, 1171308962, 1156795540, 1155991450, 1150886697, 1147330419, 1146243483, 1133390126, 1129814998, 1124525407, 1122727104, 1121325827, 1109775780, 1101935147, 1096531542, 1090638152, 1088866185, 1081681814, 1076545383, 1075470985, 1074698460, 1067903110, 1067187958, 1066595096, 1065665987, 1065600549, 1065533186, 1065144699, 1039368843, 1033225402, 1019426909, 1017674939, 1013786994, 1012789406, 1012623255, 1010621889, 1006173993, 997012788, 986381804, 981706532, 970348066, 970133329, 970130062, 966264762, 962751426, 962503637, 952375572, 935271768, 932030034, 930733409, 927770686, 927635518, 920805811, 914132879, 913196127, 908210818, 907508061, 907121692, 906935171, 906869554, 905556259, 900993386, 900700877, 899224190, 898019915, 897278390, 895210791, 895050520, 881938230, 880986560, 874206851, 872750033, 871783018, 871170017, 870244305, 857069775, 855736722, 852478765, 847204935, 841021875, 836602409, 820018322, 805881374, 801643318, 798510260, 798038630, 790812056, 777595004, 772835308, 766441052, 757977249, 757461162, 756698137, 743781295, 742840612, 742786442, 741968803, 741311166, 732009193, 731460513, 728389032, 724595717, 723392739, 722908275, 718612621, 716897725, 711492887, 704917466, 702068905, 698892501, 697985253, 691023240, 688214474, 684930505, 684272742, 665714142, 664205397, 657362157, 657156359, 656838906, 654969640, 654659342, 652144418, 651799045, 648416282, 641626224, 633721891, 633394064, 631521814, 625263668, 620818778, 620434102, 612502663, 608636652, 604762656, 599683352, 593249891, 592077143, 586141525, 585252054, 582552869, 569847844, 568105426, 567111997, 566660769, 564266739, 557356493, 556819336, 551018041, 550661536, 544700956, 542450524, 541849130, 530600663, 529853518, 529839203, 523115658, 519330814, 514728439, 508934135, 505820711, 503204836, 500584474, 497105748, 496635308, 495972163, 488707753, 480650211, 479513403, 476175838, 476017523, 466597045, 462384924, 461520355, 454665415, 454155863, 449280874, 447681984, 445544478, 440260250, 439533928, 428479161, 417193905, 413423467, 412090734, 411281314, 408598235, 403455911, 391982277, 391239776, 384121120, 383168711, 382964273, 378735998, 370136165, 360740811, 357216309, 351305082, 347852131, 343609935, 342103634, 340374188, 339863875, 337244639, 328871087, 322836703, 315248489, 313166090, 312925301, 311425139, 299803524, 293186783, 283940306, 282004078, 277978932, 269507072, 262923473, 260239588, 253626424, 248104372, 248000012, 239109179, 235350480, 234768875, 224725785, 222137244, 206092035, 195782003, 188634898, 185022233, 183824519, 183066643, 169161884, 163624121, 158876080, 158056328, 150554705, 149886726, 148614399, 148174511, 145550832, 143337916, 142588109, 141635059, 137479210, 132895698, 130406332, 128365943, 126714279, 122405607, 119604883, 114176988, 113733462, 107173579, 106625041, 105308818, 90115580, 76428856, 76108036, 65172566, 65117363, 54982183, 42331997, 38523612, 8946244, -18474904, -19857050, -24968289, -27884007, -40794369, -46219795, -47748643, -48330677, -49486584, -50081551, -56161156, -56671082, -70196543, -71096891, -75167988, -76298835, -78155716, -78692776, -82785200, -85549393, -87587210, -98177570, -98447659, -99985292, -103229037, -103258074, -103898122, -114905044, -123474356, -126723703, -130765314, -133291363, -139557955, -139775259, -143260117, -148172656, -149544392, -151078352, -155915798, -159997192, -163302147, -165952534, -167384410, -171551724, -171593192, -199292544, -204603609, -205864259, -208814061, -210243910, -215309239, -231199959, -235778522, -245783283, -249969768, -259613950, -262076790, -269178791, -270932134, -275548863, -276339931, -277547906, -285989014, -294513320, -296905764, -298850451, -299781510, -302709199, -307659407, -307724716, -311159038, -323149899, -323992501, -329841560, -330013183, -332027087, -333629439, -334638300, -336519469, -345431310, -348109953, -354556271, -358413016, -358749812, -370514225, -374477872, -379229695, -384514141, -389886697, -390337703, -395956500, -404175310, -405289045, -407047603, -407316542, -410514615, -412082439, -427159661, -432512778, -432934694, -435011113, -435420559, -437814851, -441622393, -441625345, -445034953, -451413613, -454702428, -460214472, -475525130, -476904244, -486351611, -487031653, -490012580, -491874436, -493013570, -493154782, -495999235, -503989941, -508942991, -511369692, -514085493, -518656499, -525972723, -529113217, -532207427, -532556577, -538527189, -541825737, -544797946, -545571277, -550752587, -557256520, -558801761, -568652507, -571363015, -576268262, -576482122, -576529036, -579930600, -582274776, -582764211, -589017078, -589082512, -592582281, -592935498, -609621697, -612903143, -620662399, -620996757, -623444129, -629478422, -629837955, -632662563, -638586494, -649556034, -649851173, -654097229, -655696196, -659069530, -664928173, -676312600, -680019051, -682038981, -685234074, -685969766, -686551097, -687062303, -698632690, -714628752, -717890720, -721050839, -723489995, -729681051, -733731874, -737321064, -743500957, -744030269, -747997645, -752283198, -754512250, -757333930, -762435444, -767909254, -768058561, -776399563, -778021195, -779749941, -783873153, -783875389, -785479360, -785900688, -790616377, -795428492, -796729157, -801512321, -802233586, -802788731, -813366247, -819317178, -819339088, -828287254, -832108716, -834448507, -835905441, -838493212, -842105940, -849220550, -853176853, -856734922, -860580010, -863924083, -865095672, -868257883, -873285442, -890428946, -891666250, -892002654, -892678456, -897791772, -897946204, -901612498, -907946782, -908347776, -913165323, -913790631, -914484706, -919135563, -921505029, -922733211, -925740440, -933498481, -939233927, -941295613, -941788558, -942506178, -942766816, -944994286, -952164275, -953808256, -967008755, -972841940, -976997569, -980532384, -992486910, -1006745446, -1020709939, -1022376760, -1027396058, -1036529580, -1039432386, -1040661762, -1040891837, -1045440694, -1047825821, -1054730988, -1059567727, -1061440220, -1065243484, -1068942754, -1086506987, -1087216930, -1091688455, -1097486131, -1101599443, -1102733607, -1108278351, -1111051528, -1114435276, -1114476594, -1123167748, -1125530161, -1130377422, -1131266486, -1131391455, -1134920975, -1140169826, -1146845287, -1148227779, -1148807683, -1160250364, -1167655625, -1169056923, -1169881810, -1170029146, -1177193997, -1179223691, -1185054775, -1193246337, -1195486980, -1199791348, -1200175323, -1208700815, -1211617498, -1212736415, -1217347810, -1217817686, -1218362053, -1218620969, -1218872223, -1231741753, -1234678321, -1238952296, -1239283141, -1241987863, -1243258046, -1263691813, -1269405395, -1273212769, -1279354941, -1280317464, -1280756073, -1283629053, -1284202070, -1288657680, -1290547477, -1294870401, -1297149329, -1302022909, -1303033419, -1310823423, -1328504650, -1332672225, -1345219793, -1345351436, -1345534237, -1346215627, -1347021067, -1348805784, -1350122676, -1352213496, -1356329072, -1357293832, -1358487547, -1364308275, -1366420242, -1366960832, -1371438032, -1373161076, -1374317487, -1375104003, -1377875090, -1379346085, -1382129583, -1384481925, -1385433454, -1391553900, -1398612873, -1398920857, -1408492988, -1409329325, -1415378077, -1416409534, -1428816017, -1431012486, -1432800728, -1436097787, -1438193735, -1448932044, -1452701175, -1459402090, -1462244970, -1464613030, -1471238329, -1483494581, -1492866251, -1493559110, -1494308201, -1496280612, -1497577901, -1503679721, -1512935127, -1513965394, -1515301520, -1527704794, -1528712911, -1539732598, -1554759708, -1556537954, -1556847589, -1558630652, -1569163137, -1571273438, -1571558541, -1583467293, -1584608441, -1589145822, -1590506172, -1593347135, -1598228635, -1603504066, -1604940755, -1605861826, -1610001763, -1616542540, -1618871493, -1619636804, -1622163448, -1622178914, -1622191906, -1628136741, -1629625225, -1637576781, -1640659947, -1651565064, -1654232845, -1655966806, -1656167886, -1659305111, -1668886269, -1671063694, -1673467389, -1675163310, -1676213576, -1682993828, -1700101848, -1702299271, -1714945367, -1717045907, -1717454392, -1721154120, -1723795043, -1730298900, -1730990290, -1740707648, -1744835350, -1745050273, -1746601059, -1748315138, -1766660517, -1770030345, -1780259376, -1783679084, -1790303924, -1793495989, -1798357508, -1801334686, -1805353614, -1805627012, -1808826750, -1808854526, -1819964022, -1831381002, -1832748580, -1834356741, -1835547539, -1835632798, -1840872980, -1841411190, -1857271075, -1859984437, -1867074134, -1877029759, -1881271797, -1885276366, -1885536149, -1885671442, -1886267358, -1899549480, -1900901289, -1910707988, -1910824366, -1911254715, -1912626517, -1916353085, -1920601386, -1921950333, -1923096606, -1926945388, -1932791483, -1936120735, -1936743456, -1939034505, -1940512831, -1948613839, -1952617458, -1965197698, -1966526998, -1971609314, -1981352829, -1985261046, -1987990915, -1995556915, -2000392347, -2002973041, -2013225161, -2014438824, -2017714359, -2020962276, -2022388500, -2026384477, -2031257177, -2035664555, -2043923515, -2045404557, -2047546544, -2053388534, -2053718917, -2064042442, -2066574214, -2075668692, -2082043377, -2095020649, -2098406824, -2111732232, -2113172742, -2117505190, -2122679594, -2123641651, -2132173288, -2132329551, -2139232152, -2140060274, -2143633905]
Algorithms.BubbleSortUntilNoChange;Unsorted LONG input;No description;1000;100000;255;10;[4628774403174988149, 1004707273788353676, 4588525708476852910, 5192276215440942714, 4855751660678652245, -2124777471815105645, -7646899144090661010, 20164329173133936, -7191077220528765647, -2726941495214788710]
Algorithms.BubbleSortPassPerItem;Unsorted LONG input;No description;1000;100000;316;10;[4628774403174988149, 1004707273788353676, 4588525708476852910, 5192276215440942714, 4855751660678652245, -2124777471815105645, -7646899144090661010, 20164329173133936, -7191077220528765647, -2726941495214788710]
Algorithms.BubbleSortWhileNeeded;Unsorted LONG input;No description;1000;100000;195;10;[4628774403174988149, 1004707273788353676, 4588525708476852910, 5192276215440942714, 4855751660678652245, -2124777471815105645, -7646899144090661010, 20164329173133936, -7191077220528765647, -2726941495214788710]
Algorithms.BubbleSortUntilNoChange;Sorted LONG input;No description;1000;100000;18;10;[-7634831967639734258, -6081659144368720399, -5117760597401838039, -4826173425599477561, -4030908440727574866, -890349969032000706, 1782518233477320255, 4288485319773751359, 5711954421973850194, 8289637544466810836]
Algorithms.BubbleSortPassPerItem;Sorted LONG input;No description;1000;100000;157;10;[-7634831967639734258, -6081659144368720399, -5117760597401838039, -4826173425599477561, -4030908440727574866, -890349969032000706, 1782518233477320255, 4288485319773751359, 5711954421973850194, 8289637544466810836]
Algorithms.BubbleSortWhileNeeded;Sorted LONG input;No description;1000;100000;13;10;[-7634831967639734258, -6081659144368720399, -5117760597401838039, -4826173425599477561, -4030908440727574866, -890349969032000706, 1782518233477320255, 4288485319773751359, 5711954421973850194, 8289637544466810836]
Algorithms.BubbleSortUntilNoChange;Sorted LONG reverse input;No description;1000;100000;297;10;[6299869648898238219, 1568993592079410592, 1556933768653508345, 1081433236807851016, 866872669967374841, -1989722201107866997, -2781203401898568350, -5014963830029705172, -6320185065767537252, -8695529015451033127]
Algorithms.BubbleSortPassPerItem;Sorted LONG reverse input;No description;1000;100000;269;10;[6299869648898238219, 1568993592079410592, 1556933768653508345, 1081433236807851016, 866872669967374841, -1989722201107866997, -2781203401898568350, -5014963830029705172, -6320185065767537252, -8695529015451033127]
Algorithms.BubbleSortWhileNeeded;Sorted LONG reverse input;No description;1000;100000;190;10;[6299869648898238219, 1568993592079410592, 1556933768653508345, 1081433236807851016, 866872669967374841, -1989722201107866997, -2781203401898568350, -5014963830029705172, -6320185065767537252, -8695529015451033127]
Algorithms.BubbleSortUntilNoChange;Unsorted LONG input;No description;1000;100000;26193;100;[-2515129127117734369, 7814656711752472800, 8601895924980277812, -5678189547522608943, 5272782798777578166, 1091749248757620827, 11462666203545885, -2587254060551669232, 4323807266370431121, 570038584045366351, 4033993507811332268, -3255035613669504095, -5480453925260240764, -254819392563355802, -8633363743996383768, -2151040445932415824, -3877397275326901016, -344636446313923730, -8580003984258915430, -7300024221471919668, 9221402276531516955, -1576628129216798246, 1562007251134226132, -5137419531075177109, 296620473699931902, 3991009498240771135, -359307717161356441, -4787765902945271708, -4892163498057178763, -7079949934661540648, -2275485508051210133, 4419498653298731635, -1945953328606385429, -7412739439615375613, -1291943210519575365, 2452030999653923512, 1277777428636147915, 2013708619419348930, -878094480796929162, 947707615303381048, 2725538533510186248, 3487711531995092539, -8944586852803946368, -8087380122029270437, -6027396300178244970, 8392008643161957433, -8580786570497393410, 2900718739482034540, -7727053915935661586, -3859804391802984792, 6672367795611827166, -3143344301637542115, 8070708696929371534, 3119565240330571292, 5232177653009036877, -8261545103670745344, 4743897911976482423, 4840985579982454603, -6202109291049838530, 3678121545307430670, -2631062666823534419, 7188041125293323150, -6714681109865911062, 4797755173637113892, 9074452598421069755, 7151804110176495973, 7324975305841591115, 3734344707383301761, 3706491537978866476, 3639388381317719280, -6355708141614554465, -9180198457388910006, -1642813149833661677, 5712021045060255862, -5122648432117723413, 2858812946106152967, -3226753865524169596, -4934073863199863582, 1192669360839974262, -809099797896441565, 987270332950466072, -3623381557696544191, -2236573654139971255, -708627538822546321, -4565300314721510291, 74258419833716805, 7152665008538302390, 5739395316509568671, 4858668376318232228, -1715720020251861307, 2204320517346516174, 714307387920134859, -2340429310372836638, -8620836925028250053, 6978201806153101289, -7737991957265558800, -2691515362452170033, -5969745940635367356, 9010131891452887074, 8120533851991576685]
Algorithms.BubbleSortPassPerItem;Unsorted LONG input;No description;1000;100000;25631;100;[-2515129127117734369, 7814656711752472800, 8601895924980277812, -5678189547522608943, 5272782798777578166, 1091749248757620827, 11462666203545885, -2587254060551669232, 4323807266370431121, 570038584045366351, 4033993507811332268, -3255035613669504095, -5480453925260240764, -254819392563355802, -8633363743996383768, -2151040445932415824, -3877397275326901016, -344636446313923730, -8580003984258915430, -7300024221471919668, 9221402276531516955, -1576628129216798246, 1562007251134226132, -5137419531075177109, 296620473699931902, 3991009498240771135, -359307717161356441, -4787765902945271708, -4892163498057178763, -7079949934661540648, -2275485508051210133, 4419498653298731635, -1945953328606385429, -7412739439615375613, -1291943210519575365, 2452030999653923512, 1277777428636147915, 2013708619419348930, -878094480796929162, 947707615303381048, 2725538533510186248, 3487711531995092539, -8944586852803946368, -8087380122029270437, -6027396300178244970, 8392008643161957433, -8580786570497393410, 2900718739482034540, -7727053915935661586, -3859804391802984792, 6672367795611827166, -3143344301637542115, 8070708696929371534, 3119565240330571292, 5232177653009036877, -8261545103670745344, 4743897911976482423, 4840985579982454603, -6202109291049838530, 3678121545307430670, -2631062666823534419, 7188041125293323150, -6714681109865911062, 4797755173637113892, 9074452598421069755, 7151804110176495973, 7324975305841591115, 3734344707383301761, 3706491537978866476, 3639388381317719280, -6355708141614554465, -9180198457388910006, -1642813149833661677, 5712021045060255862, -5122648432117723413, 2858812946106152967, -3226753865524169596, -4934073863199863582, 1192669360839974262, -809099797896441565, 987270332950466072, -3623381557696544191, -2236573654139971255, -708627538822546321, -4565300314721510291, 74258419833716805, 7152665008538302390, 5739395316509568671, 4858668376318232228, -1715720020251861307, 2204320517346516174, 714307387920134859, -2340429310372836638, -8620836925028250053, 6978201806153101289, -7737991957265558800, -2691515362452170033, -5969745940635367356, 9010131891452887074, 8120533851991576685]
Algorithms.BubbleSortWhileNeeded;Unsorted LONG input;No description;1000;100000;16496;100;[-2515129127117734369, 7814656711752472800, 8601895924980277812, -5678189547522608943, 5272782798777578166, 1091749248757620827, 11462666203545885, -2587254060551669232, 4323807266370431121, 570038584045366351, 4033993507811332268, -3255035613669504095, -5480453925260240764, -254819392563355802, -8633363743996383768, -2151040445932415824, -3877397275326901016, -344636446313923730, -8580003984258915430, -7300024221471919668, 9221402276531516955, -1576628129216798246, 1562007251134226132, -5137419531075177109, 296620473699931902, 3991009498240771135, -359307717161356441, -4787765902945271708, -4892163498057178763, -7079949934661540648, -2275485508051210133, 4419498653298731635, -1945953328606385429, -7412739439615375613, -1291943210519575365, 2452030999653923512, 1277777428636147915, 2013708619419348930, -878094480796929162, 947707615303381048, 2725538533510186248, 3487711531995092539, -8944586852803946368, -8087380122029270437, -6027396300178244970, 8392008643161957433, -8580786570497393410, 2900718739482034540, -7727053915935661586, -3859804391802984792, 6672367795611827166, -3143344301637542115, 8070708696929371534, 3119565240330571292, 5232177653009036877, -8261545103670745344, 4743897911976482423, 4840985579982454603, -6202109291049838530, 3678121545307430670, -2631062666823534419, 7188041125293323150, -6714681109865911062, 4797755173637113892, 9074452598421069755, 7151804110176495973, 7324975305841591115, 3734344707383301761, 3706491537978866476, 3639388381317719280, -6355708141614554465, -9180198457388910006, -1642813149833661677, 5712021045060255862, -5122648432117723413, 2858812946106152967, -3226753865524169596, -4934073863199863582, 1192669360839974262, -809099797896441565, 987270332950466072, -3623381557696544191, -2236573654139971255, -708627538822546321, -4565300314721510291, 74258419833716805, 7152665008538302390, 5739395316509568671, 4858668376318232228, -1715720020251861307, 2204320517346516174, 714307387920134859, -2340429310372836638, -8620836925028250053, 6978201806153101289, -7737991957265558800, -2691515362452170033, -5969745940635367356, 9010131891452887074, 8120533851991576685]
Algorithms.BubbleSortUntilNoChange;Sorted LONG input;No description;1000;100000;182;100;[-8914451713432026907, -8795822686075790210, -8472757443752283621, -8349632339125520284, -7730290081981232738, -7713277972420351882, -7614378176913648186, -7582583538132178924, -7491697890414629476, -7105852122329351183, -6745742514974099429, -6567276416211791018, -5889970436255260849, -5693080005730617852, -5529581573271213441, -5495744851928135952, -4708658738779584115, -4416041324613159749, -4242398061249593130, -4215416639844689282, -3922251628117311246, -3806568137819915034, -3710841531846081668, -3616212158026244949, -3490423745413502340, -3157703659359130654, -3148623435993944975, -3059607928607792552, -3005877265440046616, -2693432736820604936, -2621760847415209675, -2471073950691987724, -2460216619164008385, -2325879803379536761, -2069408657250046641, -2045003641033188155, -1885680087030010499, -1852448442094748245, -1841905736944059228, -1378649786289237877, -1243297992081561452, -832719585024426467, -525962646931271015, 5927419397738066, 247055659970583341, 456453404573168942, 682310106429290865, 1285255600370384569, 1412472034131845218, 1665207564716884799, 2046194157659207999, 2222376231719091076, 2337412251286026657, 2684842708338657766, 2921348173133314265, 3377969887433488347, 3385051526410329252, 3400793375472264808, 3515069220816637030, 4007121484285754586, 4109562814776115614, 4124500431272808700, 4143892438732700397, 4166197761987612708, 4194332895277232744, 4219051310327431305, 5570989106502110998, 5638533049355233413, 5666937438608144201, 5777361508645790041, 5968902392926890892, 5978088485112487054, 6015121008699148872, 6210232048637119955, 6246556461295788281, 6369794451397203002, 6508869330056935335, 6697604981577659260, 6713967505622880171, 6768171268029508761, 6790883066343994999, 7064242488016275482, 7205927909727790846, 7257825298067578978, 7363282733064590249, 7474124135320422645, 7492299510826950018, 7580424002117600568, 7773437743516408424, 7885820342934238493, 7933755999486331925, 8320091275900979895, 8445236352231967167, 8588337505172622340, 8673804273152811046, 8709388722930404886, 8832585669172157971, 8873932078472544987, 8995489634679830230, 9046523508571629103]
Algorithms.BubbleSortPassPerItem;Sorted LONG input;No description;1000;100000;17121;100;[-8914451713432026907, -8795822686075790210, -8472757443752283621, -8349632339125520284, -7730290081981232738, -7713277972420351882, -7614378176913648186, -7582583538132178924, -7491697890414629476, -7105852122329351183, -6745742514974099429, -6567276416211791018, -5889970436255260849, -5693080005730617852, -5529581573271213441, -5495744851928135952, -4708658738779584115, -4416041324613159749, -4242398061249593130, -4215416639844689282, -3922251628117311246, -3806568137819915034, -3710841531846081668, -3616212158026244949, -3490423745413502340, -3157703659359130654, -3148623435993944975, -3059607928607792552, -3005877265440046616, -2693432736820604936, -2621760847415209675, -2471073950691987724, -2460216619164008385, -2325879803379536761, -2069408657250046641, -2045003641033188155, -1885680087030010499, -1852448442094748245, -1841905736944059228, -1378649786289237877, -1243297992081561452, -832719585024426467, -525962646931271015, 5927419397738066, 247055659970583341, 456453404573168942, 682310106429290865, 1285255600370384569, 1412472034131845218, 1665207564716884799, 2046194157659207999, 2222376231719091076, 2337412251286026657, 2684842708338657766, 2921348173133314265, 3377969887433488347, 3385051526410329252, 3400793375472264808, 3515069220816637030, 4007121484285754586, 4109562814776115614, 4124500431272808700, 4143892438732700397, 4166197761987612708, 4194332895277232744, 4219051310327431305, 5570989106502110998, 5638533049355233413, 5666937438608144201, 5777361508645790041, 5968902392926890892, 5978088485112487054, 6015121008699148872, 6210232048637119955, 6246556461295788281, 6369794451397203002, 6508869330056935335, 6697604981577659260, 6713967505622880171, 6768171268029508761, 6790883066343994999, 7064242488016275482, 7205927909727790846, 7257825298067578978, 7363282733064590249, 7474124135320422645, 7492299510826950018, 7580424002117600568, 7773437743516408424, 7885820342934238493, 7933755999486331925, 8320091275900979895, 8445236352231967167, 8588337505172622340, 8673804273152811046, 8709388722930404886, 8832585669172157971, 8873932078472544987, 8995489634679830230, 9046523508571629103]
Algorithms.BubbleSortWhileNeeded;Sorted LONG input;No description;1000;100000;183;100;[-8914451713432026907, -8795822686075790210, -8472757443752283621, -8349632339125520284, -7730290081981232738, -7713277972420351882, -7614378176913648186, -7582583538132178924, -7491697890414629476, -7105852122329351183, -6745742514974099429, -6567276416211791018, -5889970436255260849, -5693080005730617852, -5529581573271213441, -5495744851928135952, -4708658738779584115, -4416041324613159749, -4242398061249593130, -4215416639844689282, -3922251628117311246, -3806568137819915034, -3710841531846081668, -3616212158026244949, -3490423745413502340, -3157703659359130654, -3148623435993944975, -3059607928607792552, -3005877265440046616, -2693432736820604936, -2621760847415209675, -2471073950691987724, -2460216619164008385, -2325879803379536761, -2069408657250046641, -2045003641033188155, -1885680087030010499, -1852448442094748245, -1841905736944059228, -1378649786289237877, -1243297992081561452, -832719585024426467, -525962646931271015, 5927419397738066, 247055659970583341, 456453404573168942, 682310106429290865, 1285255600370384569, 1412472034131845218, 1665207564716884799, 2046194157659207999, 2222376231719091076, 2337412251286026657, 2684842708338657766, 2921348173133314265, 3377969887433488347, 3385051526410329252, 3400793375472264808, 3515069220816637030, 4007121484285754586, 4109562814776115614, 4124500431272808700, 4143892438732700397, 4166197761987612708, 4194332895277232744, 4219051310327431305, 5570989106502110998, 5638533049355233413, 5666937438608144201, 5777361508645790041, 5968902392926890892, 5978088485112487054, 6015121008699148872, 6210232048637119955, 6246556461295788281, 6369794451397203002, 6508869330056935335, 6697604981577659260, 6713967505622880171, 6768171268029508761, 6790883066343994999, 7064242488016275482, 7205927909727790846, 7257825298067578978, 7363282733064590249, 7474124135320422645, 7492299510826950018, 7580424002117600568, 7773437743516408424, 7885820342934238493, 7933755999486331925, 8320091275900979895, 8445236352231967167, 8588337505172622340, 8673804273152811046, 8709388722930404886, 8832585669172157971, 8873932078472544987, 8995489634679830230, 9046523508571629103]
Algorithms.BubbleSortUntilNoChange;Sorted LONG reverse input;No description;1000;100000;34350;100;[8865217320542815982, 8652414531327520251, 8608167921586224770, 8019093299972589798, 7876570999712225716, 7853010485318365317, 7684630286549231500, 7522327177682379467, 7447610034935429421, 7310253146725557462, 7302549049414901642, 7180797372537702099, 6972246165455278448, 6704675086772789534, 6302229931518187839, 6151513906223926116, 6064704925988804134, 5586505460565663459, 5518505089751950024, 5432183539379728220, 5219314455744104788, 4604135052548959822, 4603842658456308548, 4373154127507568503, 4311141124262173413, 4228773064673671178, 4169188634674070549, 4054338211833452850, 4014648824308489246, 3976554523731687761, 3948594082410728077, 3574967408446360041, 3462559634471752173, 3050105819697678463, 2569973759580629234, 2137468369337674830, 2122118045208916408, 1770729355913693989, 1520457448161409837, 1440227777126922012, 1271568323566483627, 953655779933687448, 722377632175533794, 402321103746668159, -326359697531179587, -334387868034308626, -691309873984348623, -738022028519471444, -841586720683945911, -903316874250610025, -1338970272114827635, -1375538454556553688, -1450305086881857684, -1758013606159546916, -1905887465085676696, -1996140577603973292, -2108106696441430235, -2129099224878127776, -2282029035429559755, -2438798935160268174, -2676255835532458210, -2697494289685510801, -2750276693881751327, -2879645909093319694, -2883401100996152098, -2929101314134296791, -2985609248464860810, -3037433214323503417, -3364111152180001451, -4067592617303411684, -4285905705442107005, -4300415021256905747, -4828362674160498729, -4832181717717081355, -5205714647917578063, -5374104554201889073, -5789945689679788931, -5838320228589385622, -5893334736254360159, -6026201661709865159, -6136213206160970547, -6227218044709294706, -6339494865513717120, -6389470544382226466, -6501475196419140927, -6562357511213677884, -6613635858412540022, -6682878706344790646, -6742482445385034821, -6763321704488901846, -6800099441147686100, -6887459877421387190, -7227786751372895724, -7228039546157588277, -7466208185474051518, -8007126040201656911, -8044822322922300803, -8181851908016580309, -8679258232084331761, -8807651457750315067]
